Student Name,Admission No.,Book Name,Date of Issue,Date of Return,Days Due
Aarav Sharma,2022PE1133,Signals and Systems,2026-02-11,2026-02-20,0
Aarav Sharma,2022PE1133,Signals and Systems,2026-02-08,2026-03-03,9
Vihaan Patil,2022PE4836,Web Technologies,2026-01-10,2026-01-30,6
Vihaan Patil,2022PE4836,IC Engines,2026-02-15,2026-03-05,4
Vihaan Patil,2022PE4836,Thermodynamics,2026-02-01,2026-02-15,0
Vihaan Patil,2022PE4836,Web Technologies,2026-02-23,2026-02-28,0
Aarav Sharma,2022PE1563,IC Engines,2026-01-18,2026-01-26,0
Aarav Sharma,2022PE1563,Signals and Systems,2026-01-25,2026-02-11,3
Aarav Sharma,2022PE1563,Web Technologies,2026-02-28,2026-03-07,0
Aarav Sharma,2022PE1563,Microprocessors,2026-01-27,2026-02-16,6
Isha Deshmukh,2023PE6053,Thermodynamics,2026-03-02,2026-03-11,0
Isha Deshmukh,2023PE6053,Web Technologies,2026-02-17,2026-02-24,0
Isha Deshmukh,2023PE6053,Machine Learning,2026-01-29,2026-02-08,0
Isha Deshmukh,2023PE6053,Machine Learning,2026-02-09,2026-02-15,0
Vihaan Patil,2022PE9880,Signals and Systems,2026-02-09,2026-03-05,10
Vihaan Patil,2022PE9880,Machine Learning,2026-02-06,2026-02-16,0
Vihaan Patil,2022PE9880,IC Engines,2026-01-02,2026-01-20,4
Vihaan Patil,2022PE9880,IC Engines,2026-01-20,2026-02-06,3
Arjun Nair,2023PE4467,Microprocessors,2026-01-18,2026-02-05,4
Arjun Nair,2023PE4467,IC Engines,2026-01-08,2026-01-25,3
Arjun Nair,2023PE4467,Signals and Systems,2026-01-03,2026-01-19,2
Arjun Nair,2023PE4467,Thermodynamics,2026-02-18,2026-03-09,5
Sanya Mehta,2022PE8864,Microprocessors,2026-01-15,2026-02-08,10
Sanya Mehta,2022PE8864,IC Engines,2026-02-28,2026-03-06,0
Sanya Mehta,2022PE8864,IC Engines,2026-02-23,2026-03-02,0
Sanya Mehta,2022PE8864,Microprocessors,2026-02-21,2026-03-01,0
Isha Deshmukh,2022PE6188,Machine Learning,2026-01-01,2026-01-16,1
Isha Deshmukh,2022PE6188,Machine Learning,2026-01-02,2026-01-13,0
Isha Deshmukh,2022PE6188,Signals and Systems,2026-01-11,2026-01-21,0
Isha Deshmukh,2022PE6188,Microprocessors,2026-02-02,2026-02-21,5
Vihaan Patil,2022PE1483,Web Technologies,2026-02-25,2026-03-12,1
Vihaan Patil,2022PE1483,Thermodynamics,2026-02-27,2026-03-12,0
Vihaan Patil,2022PE1483,Introduction to Algorithms,2026-02-17,2026-02-28,0
Vihaan Patil,2022PE1483,Machine Learning,2026-01-19,2026-02-13,11
Sanya Mehta,2023PE1318,Machine Learning,2026-02-22,2026-03-14,6
Sanya Mehta,2023PE1318,Machine Learning,2026-02-18,2026-02-24,0
Sanya Mehta,2023PE1318,Machine Learning,2026-01-23,2026-02-04,0
Sanya Mehta,2023PE1318,IC Engines,2026-01-20,2026-02-10,7
Aarav Sharma,2023PE4272,Machine Learning,2026-01-02,2026-01-21,5
Aarav Sharma,2023PE4272,Microprocessors,2026-02-21,2026-03-13,6
Aarav Sharma,2023PE4272,Signals and Systems,2026-02-23,2026-03-13,4
Aarav Sharma,2023PE4272,Signals and Systems,2026-02-02,2026-02-25,9
Ananya Iyer,2022PE3634,Machine Learning,2026-02-17,2026-03-07,4
Ananya Iyer,2022PE3634,Introduction to Algorithms,2026-02-06,2026-02-27,7
Ananya Iyer,2022PE3634,Thermodynamics,2026-02-14,2026-03-01,1
Ananya Iyer,2022PE3634,Thermodynamics,2026-01-11,2026-02-01,7
Sanya Mehta,2023PE8705,Web Technologies,2026-01-13,2026-01-23,0
Sanya Mehta,2023PE8705,Machine Learning,2026-01-19,2026-02-10,8
Sanya Mehta,2023PE8705,IC Engines,2026-01-11,2026-01-29,4
Sanya Mehta,2023PE8705,Web Technologies,2026-01-21,2026-01-31,0
Rohan Verma,2022PE2166,Machine Learning,2026-01-16,2026-02-06,7
Rohan Verma,2022PE2166,Machine Learning,2026-02-14,2026-02-19,0
Rohan Verma,2022PE2166,Web Technologies,2026-01-21,2026-01-29,0
Rohan Verma,2022PE2166,IC Engines,2026-01-28,2026-02-09,0
Ananya Iyer,2023PE8153,IC Engines,2026-02-06,2026-03-01,9
Ananya Iyer,2023PE8153,Thermodynamics,2026-01-29,2026-02-21,9
Ananya Iyer,2023PE8153,Introduction to Algorithms,2026-02-07,2026-02-27,6
Ananya Iyer,2023PE8153,Introduction to Algorithms,2026-01-03,2026-01-28,11
Arjun Nair,2022PE4217,Machine Learning,2026-02-05,2026-02-25,6
Arjun Nair,2022PE4217,IC Engines,2026-03-01,2026-03-14,0
Arjun Nair,2022PE4217,Introduction to Algorithms,2026-02-23,2026-03-06,0
Arjun Nair,2022PE4217,Web Technologies,2026-01-18,2026-01-24,0
Ananya Iyer,2023PE2215,IC Engines,2026-02-04,2026-02-13,0
Ananya Iyer,2023PE2215,Microprocessors,2026-01-24,2026-02-06,0
Ananya Iyer,2023PE2215,Machine Learning,2026-02-01,2026-02-11,0
Ananya Iyer,2023PE2215,Machine Learning,2026-01-21,2026-01-27,0
Ananya Iyer,2022PE3577,Signals and Systems,2026-01-10,2026-01-22,0
Ananya Iyer,2022PE3577,Machine Learning,2026-01-24,2026-02-15,8
Ananya Iyer,2022PE3577,Introduction to Algorithms,2026-02-22,2026-03-17,9
Ananya Iyer,2022PE3577,Web Technologies,2026-02-03,2026-02-11,0
Aarav Sharma,2022PE3357,Machine Learning,2026-01-08,2026-01-13,0
Aarav Sharma,2022PE3357,Signals and Systems,2026-02-27,2026-03-14,1
Aarav Sharma,2022PE3357,IC Engines,2026-01-25,2026-02-05,0
Aarav Sharma,2022PE3357,Machine Learning,2026-02-06,2026-03-03,11
Vihaan Patil,2023PE4964,Machine Learning,2026-01-10,2026-01-26,2
Vihaan Patil,2023PE4964,Introduction to Algorithms,2026-02-28,2026-03-20,6
Vihaan Patil,2023PE4964,Microprocessors,2026-01-09,2026-01-17,0
Vihaan Patil,2023PE4964,IC Engines,2026-01-02,2026-01-18,2
Arjun Nair,2023PE5824,Signals and Systems,2026-02-19,2026-03-14,9
Arjun Nair,2023PE5824,Introduction to Algorithms,2026-03-01,2026-03-07,0
Arjun Nair,2023PE5824,Signals and Systems,2026-02-05,2026-02-26,7
Arjun Nair,2023PE5824,Signals and Systems,2026-02-12,2026-03-02,4
Isha Deshmukh,2022PE5120,Introduction to Algorithms,2026-01-06,2026-01-23,3
Isha Deshmukh,2022PE5120,Machine Learning,2026-03-01,2026-03-20,5
Isha Deshmukh,2022PE5120,Signals and Systems,2026-01-08,2026-01-23,1
Isha Deshmukh,2022PE5120,Introduction to Algorithms,2026-01-08,2026-01-14,0
Rohan Verma,2023PE2405,IC Engines,2026-02-03,2026-02-11,0
Rohan Verma,2023PE2405,Thermodynamics,2026-02-13,2026-03-03,4
Rohan Verma,2023PE2405,IC Engines,2026-02-19,2026-03-12,7
Rohan Verma,2023PE2405,Machine Learning,2026-02-12,2026-03-02,4
Rohan Verma,2023PE3711,Introduction to Algorithms,2026-01-25,2026-02-17,9
Rohan Verma,2023PE3711,Thermodynamics,2026-02-13,2026-02-26,0
Rohan Verma,2023PE3711,Web Technologies,2026-02-03,2026-02-18,1
Rohan Verma,2023PE3711,Web Technologies,2026-01-23,2026-02-12,6
Arjun Nair,2023PE9671,Machine Learning,2026-01-09,2026-02-01,9
Arjun Nair,2023PE9671,Thermodynamics,2026-02-07,2026-02-19,0
Arjun Nair,2023PE9671,Microprocessors,2026-01-31,2026-02-11,0
Arjun Nair,2023PE9671,Thermodynamics,2026-01-21,2026-02-02,0
Rohan Verma,2022PE8182,Web Technologies,2026-02-07,2026-02-24,3
Rohan Verma,2022PE8182,Web Technologies,2026-02-08,2026-03-02,8
Rohan Verma,2022PE8182,Web Technologies,2026-02-06,2026-02-14,0
Rohan Verma,2022PE8182,IC Engines,2026-02-14,2026-03-08,8
Sanya Mehta,2022PE2352,Thermodynamics,2026-02-10,2026-02-25,1
Sanya Mehta,2022PE2352,Thermodynamics,2026-01-16,2026-02-02,3
Sanya Mehta,2022PE2352,Web Technologies,2026-01-10,2026-01-19,0
Sanya Mehta,2022PE2352,Web Technologies,2026-02-06,2026-02-20,0
Ananya Iyer,2023PE3413,Signals and Systems,2026-02-27,2026-03-06,0
Ananya Iyer,2023PE3413,IC Engines,2026-01-09,2026-01-18,0
Ananya Iyer,2023PE3413,Microprocessors,2026-02-25,2026-03-17,6
Ananya Iyer,2023PE3413,IC Engines,2026-02-28,2026-03-14,0
Vihaan Patil,2022PE3522,Thermodynamics,2026-02-14,2026-02-23,0
Vihaan Patil,2022PE3522,Thermodynamics,2026-02-16,2026-03-13,11
Vihaan Patil,2022PE3522,Thermodynamics,2026-02-13,2026-02-21,0
Vihaan Patil,2022PE3522,Machine Learning,2026-01-03,2026-01-19,2
Ananya Iyer,2022PE2339,Machine Learning,2026-02-20,2026-03-01,0
Ananya Iyer,2022PE2339,Microprocessors,2026-02-02,2026-02-11,0
Ananya Iyer,2022PE2339,Machine Learning,2026-02-19,2026-03-08,3
Ananya Iyer,2022PE2339,Signals and Systems,2026-03-01,2026-03-19,4
Kiara Joshi,2022PE8383,Thermodynamics,2026-02-05,2026-02-17,0
Kiara Joshi,2022PE8383,Signals and Systems,2026-01-27,2026-02-10,0
Kiara Joshi,2022PE8383,Introduction to Algorithms,2026-02-15,2026-03-04,3
Kiara Joshi,2022PE8383,Introduction to Algorithms,2026-02-27,2026-03-05,0
Aarav Sharma,2022PE9160,Introduction to Algorithms,2026-01-31,2026-02-09,0
Aarav Sharma,2022PE9160,Web Technologies,2026-02-08,2026-03-05,11
Aarav Sharma,2022PE9160,Web Technologies,2026-03-02,2026-03-11,0
Aarav Sharma,2022PE9160,Microprocessors,2026-01-14,2026-02-07,10
Kiara Joshi,2023PE7318,Signals and Systems,2026-02-04,2026-02-22,4
Kiara Joshi,2023PE7318,Introduction to Algorithms,2026-02-14,2026-02-21,0
Kiara Joshi,2023PE7318,Microprocessors,2026-01-24,2026-02-07,0
Kiara Joshi,2023PE7318,Thermodynamics,2026-01-16,2026-02-07,8
Ananya Iyer,2022PE4645,Thermodynamics,2026-02-19,2026-03-10,5
Ananya Iyer,2022PE4645,Signals and Systems,2026-02-28,2026-03-22,8
Ananya Iyer,2022PE4645,Signals and Systems,2026-01-11,2026-02-05,11
Ananya Iyer,2022PE4645,Introduction to Algorithms,2026-01-04,2026-01-19,1
Isha Deshmukh,2023PE5310,Introduction to Algorithms,2026-02-18,2026-02-28,0
Isha Deshmukh,2023PE5310,Introduction to Algorithms,2026-01-07,2026-01-24,3
Isha Deshmukh,2023PE5310,Thermodynamics,2026-01-26,2026-02-13,4
Isha Deshmukh,2023PE5310,Machine Learning,2026-01-13,2026-01-25,0
Isha Deshmukh,2022PE3994,Microprocessors,2026-01-03,2026-01-19,2
Isha Deshmukh,2022PE3994,Thermodynamics,2026-03-02,2026-03-13,0
Isha Deshmukh,2022PE3994,Web Technologies,2026-02-23,2026-03-10,1
Isha Deshmukh,2022PE3994,Microprocessors,2026-02-03,2026-02-11,0
Kiara Joshi,2023PE8116,IC Engines,2026-02-01,2026-02-09,0
Kiara Joshi,2023PE8116,Microprocessors,2026-01-18,2026-02-09,8
Kiara Joshi,2023PE8116,Web Technologies,2026-01-20,2026-02-13,10
Kiara Joshi,2023PE8116,Machine Learning,2026-01-23,2026-02-14,8
Rohan Verma,2023PE2237,Thermodynamics,2026-01-17,2026-02-04,4
Rohan Verma,2023PE2237,Web Technologies,2026-02-07,2026-03-01,8
Rohan Verma,2023PE2237,Machine Learning,2026-01-25,2026-01-30,0
Rohan Verma,2023PE2237,Microprocessors,2026-01-15,2026-02-09,11
Vihaan Patil,2023PE8978,Machine Learning,2026-02-03,2026-02-25,8
Vihaan Patil,2023PE8978,Introduction to Algorithms,2026-01-06,2026-01-12,0
Vihaan Patil,2023PE8978,Thermodynamics,2026-03-02,2026-03-17,1
Vihaan Patil,2023PE8978,Signals and Systems,2026-01-09,2026-01-16,0
Sanya Mehta,2023PE8455,Microprocessors,2026-01-14,2026-01-31,3
Sanya Mehta,2023PE8455,Thermodynamics,2026-01-28,2026-02-10,0
Sanya Mehta,2023PE8455,Thermodynamics,2026-01-16,2026-02-10,11
Sanya Mehta,2023PE8455,Introduction to Algorithms,2026-01-30,2026-02-19,6
Aarav Sharma,2023PE8990,Introduction to Algorithms,2026-01-23,2026-02-04,0
Aarav Sharma,2023PE8990,Signals and Systems,2026-01-24,2026-02-09,2
Aarav Sharma,2023PE8990,Machine Learning,2026-02-16,2026-02-27,0
Aarav Sharma,2023PE8990,Thermodynamics,2026-01-26,2026-01-31,0
Arjun Nair,2023PE8490,Microprocessors,2026-02-04,2026-02-24,6
Arjun Nair,2023PE8490,IC Engines,2026-02-27,2026-03-17,4
Arjun Nair,2023PE8490,IC Engines,2026-01-05,2026-01-14,0
Arjun Nair,2023PE8490,Thermodynamics,2026-02-02,2026-02-16,0
Vihaan Patil,2022PE4627,Web Technologies,2026-01-31,2026-02-19,5
Vihaan Patil,2022PE4627,Microprocessors,2026-02-12,2026-02-25,0
Vihaan Patil,2022PE4627,Introduction to Algorithms,2026-01-08,2026-01-14,0
Vihaan Patil,2022PE4627,Signals and Systems,2026-02-20,2026-03-17,11
Aarav Sharma,2023PE2425,Signals and Systems,2026-02-06,2026-02-14,0
Aarav Sharma,2023PE2425,Thermodynamics,2026-02-19,2026-03-11,6
Aarav Sharma,2023PE2425,Thermodynamics,2026-03-01,2026-03-24,9
Aarav Sharma,2023PE2425,Signals and Systems,2026-01-04,2026-01-28,10
Sanya Mehta,2022PE6368,Thermodynamics,2026-01-11,2026-01-21,0
Sanya Mehta,2022PE6368,Web Technologies,2026-01-02,2026-01-26,10
Sanya Mehta,2022PE6368,Signals and Systems,2026-02-05,2026-02-15,0
Sanya Mehta,2022PE6368,IC Engines,2026-02-21,2026-03-01,0
Arjun Nair,2022PE1684,Microprocessors,2026-02-24,2026-03-03,0
Arjun Nair,2022PE1684,Microprocessors,2026-01-10,2026-01-22,0
Arjun Nair,2022PE1684,Microprocessors,2026-02-15,2026-03-11,10
Arjun Nair,2022PE1684,Signals and Systems,2026-01-15,2026-01-23,0
Rohan Verma,2022PE3244,Machine Learning,2026-02-11,2026-02-17,0
Rohan Verma,2022PE3244,Web Technologies,2026-01-31,2026-02-21,7
Rohan Verma,2022PE3244,Machine Learning,2026-02-17,2026-03-04,1
Rohan Verma,2022PE3244,Machine Learning,2026-01-25,2026-02-02,0
Arjun Nair,2022PE8805,Introduction to Algorithms,2026-02-23,2026-03-14,5
Arjun Nair,2022PE8805,Web Technologies,2026-01-30,2026-02-08,0
Arjun Nair,2022PE8805,IC Engines,2026-02-27,2026-03-10,0
Arjun Nair,2022PE8805,Thermodynamics,2026-01-11,2026-01-30,5
Rohan Verma,2022PE1040,Machine Learning,2026-01-16,2026-01-25,0
Rohan Verma,2022PE1040,Microprocessors,2026-01-31,2026-02-23,9
Rohan Verma,2022PE1040,Introduction to Algorithms,2026-02-23,2026-03-15,6
Rohan Verma,2022PE1040,Signals and Systems,2026-02-09,2026-02-22,0
Ananya Iyer,2023PE4291,Microprocessors,2026-02-14,2026-03-11,11
Ananya Iyer,2023PE4291,IC Engines,2026-01-06,2026-01-31,11
Ananya Iyer,2023PE4291,Web Technologies,2026-02-03,2026-02-20,3
Ananya Iyer,2023PE4291,IC Engines,2026-02-09,2026-02-18,0
Rohan Verma,2022PE1158,Microprocessors,2026-01-25,2026-02-11,3
Rohan Verma,2022PE1158,Machine Learning,2026-01-13,2026-02-04,8
Rohan Verma,2022PE1158,Microprocessors,2026-01-29,2026-02-23,11
Rohan Verma,2022PE1158,Signals and Systems,2026-01-16,2026-02-04,5
Rohan Verma,2022PE3940,IC Engines,2026-01-16,2026-01-24,0
Rohan Verma,2022PE3940,Microprocessors,2026-02-05,2026-02-27,8
Rohan Verma,2022PE3940,IC Engines,2026-01-27,2026-02-17,7
Rohan Verma,2022PE3940,Microprocessors,2026-01-17,2026-02-08,8
Kiara Joshi,2023PE2852,Introduction to Algorithms,2026-01-19,2026-02-02,0
Kiara Joshi,2023PE2852,Introduction to Algorithms,2026-02-14,2026-02-25,0
Kiara Joshi,2023PE2852,Web Technologies,2026-01-31,2026-02-25,11
Kiara Joshi,2023PE2852,IC Engines,2026-02-25,2026-03-12,1
Kiara Joshi,2022PE8324,Signals and Systems,2026-02-26,2026-03-23,11
Kiara Joshi,2022PE8324,Microprocessors,2026-02-11,2026-02-23,0
Kiara Joshi,2022PE8324,Microprocessors,2026-02-13,2026-03-01,2
Kiara Joshi,2022PE8324,Machine Learning,2026-02-24,2026-03-03,0
Ananya Iyer,2022PE5838,Introduction to Algorithms,2026-02-10,2026-03-03,7
Ananya Iyer,2022PE5838,Signals and Systems,2026-01-18,2026-02-02,1
Ananya Iyer,2022PE5838,Thermodynamics,2026-02-16,2026-02-27,0
Ananya Iyer,2022PE5838,Introduction to Algorithms,2026-01-20,2026-02-03,0
Sanya Mehta,2022PE8266,Introduction to Algorithms,2026-02-12,2026-02-21,0
Sanya Mehta,2022PE8266,Introduction to Algorithms,2026-03-01,2026-03-23,8
Sanya Mehta,2022PE8266,Microprocessors,2026-01-16,2026-02-10,11
Sanya Mehta,2022PE8266,Machine Learning,2026-02-02,2026-02-13,0
Aarav Sharma,2022PE8772,Microprocessors,2026-02-13,2026-03-08,9
Aarav Sharma,2022PE8772,Signals and Systems,2026-02-02,2026-02-10,0
Aarav Sharma,2022PE8772,Introduction to Algorithms,2026-01-14,2026-02-04,7
Aarav Sharma,2022PE8772,IC Engines,2026-01-12,2026-01-30,4
Rohan Verma,2022PE9571,Machine Learning,2026-01-17,2026-02-05,5
Rohan Verma,2022PE9571,Microprocessors,2026-02-24,2026-03-11,1
Rohan Verma,2022PE9571,Web Technologies,2026-03-01,2026-03-24,9
Rohan Verma,2022PE9571,Machine Learning,2026-02-10,2026-02-16,0
Aarav Sharma,2022PE8110,Web Technologies,2026-01-15,2026-01-20,0
Aarav Sharma,2022PE8110,Microprocessors,2026-01-15,2026-01-28,0
Aarav Sharma,2022PE8110,Thermodynamics,2026-02-11,2026-03-06,9
Aarav Sharma,2022PE8110,Microprocessors,2026-02-15,2026-02-28,0
Isha Deshmukh,2023PE7390,Microprocessors,2026-02-18,2026-03-09,5
Isha Deshmukh,2023PE7390,Signals and Systems,2026-01-23,2026-02-15,9
Isha Deshmukh,2023PE7390,IC Engines,2026-01-30,2026-02-19,6
Isha Deshmukh,2023PE7390,Signals and Systems,2026-01-02,2026-01-22,6
Kiara Joshi,2022PE1576,Web Technologies,2026-02-25,2026-03-02,0
Kiara Joshi,2022PE1576,Machine Learning,2026-01-27,2026-02-21,11
Kiara Joshi,2022PE1576,Signals and Systems,2026-02-26,2026-03-15,3
Kiara Joshi,2022PE1576,Machine Learning,2026-02-13,2026-03-02,3
Kiara Joshi,2023PE6676,IC Engines,2026-01-17,2026-01-29,0
Kiara Joshi,2023PE6676,IC Engines,2026-02-26,2026-03-18,6
Kiara Joshi,2023PE6676,Web Technologies,2026-01-30,2026-02-15,2
Kiara Joshi,2023PE6676,Machine Learning,2026-03-01,2026-03-26,11
Rohan Verma,2023PE9479,Web Technologies,2026-02-02,2026-02-15,0
Rohan Verma,2023PE9479,Signals and Systems,2026-01-13,2026-01-21,0
Rohan Verma,2023PE9479,Introduction to Algorithms,2026-02-23,2026-03-07,0
Rohan Verma,2023PE9479,Introduction to Algorithms,2026-02-20,2026-03-06,0
Kiara Joshi,2022PE6116,Introduction to Algorithms,2026-02-28,2026-03-21,7
Kiara Joshi,2022PE6116,IC Engines,2026-02-26,2026-03-08,0
Kiara Joshi,2022PE6116,Web Technologies,2026-02-02,2026-02-15,0
Kiara Joshi,2022PE6116,Introduction to Algorithms,2026-01-12,2026-01-31,5
Vihaan Patil,2023PE4293,Microprocessors,2026-02-18,2026-03-11,7
Vihaan Patil,2023PE4293,IC Engines,2026-02-03,2026-02-24,7
Vihaan Patil,2023PE4293,Introduction to Algorithms,2026-01-22,2026-01-28,0
Vihaan Patil,2023PE4293,IC Engines,2026-02-05,2026-02-14,0
Ananya Iyer,2022PE3075,IC Engines,2026-02-12,2026-03-06,8
Ananya Iyer,2022PE3075,Microprocessors,2026-01-23,2026-02-13,7
Ananya Iyer,2022PE3075,Thermodynamics,2026-01-19,2026-02-07,5
Ananya Iyer,2022PE3075,Thermodynamics,2026-02-18,2026-02-26,0
Isha Deshmukh,2023PE7765,Microprocessors,2026-01-12,2026-02-02,7
Isha Deshmukh,2023PE7765,Signals and Systems,2026-01-22,2026-02-15,10
Isha Deshmukh,2023PE7765,Introduction to Algorithms,2026-02-14,2026-03-05,5
Isha Deshmukh,2023PE7765,Web Technologies,2026-01-23,2026-01-30,0
Rohan Verma,2023PE6392,Microprocessors,2026-02-05,2026-02-22,3
Rohan Verma,2023PE6392,Signals and Systems,2026-01-06,2026-01-11,0
Rohan Verma,2023PE6392,Signals and Systems,2026-02-03,2026-02-23,6
Rohan Verma,2023PE6392,Web Technologies,2026-02-02,2026-02-25,9
Isha Deshmukh,2023PE4207,Thermodynamics,2026-01-15,2026-01-28,0
Isha Deshmukh,2023PE4207,Introduction to Algorithms,2026-01-09,2026-01-22,0
Isha Deshmukh,2023PE4207,Web Technologies,2026-02-02,2026-02-27,11
Isha Deshmukh,2023PE4207,Machine Learning,2026-01-10,2026-01-20,0
Ananya Iyer,2023PE8592,Microprocessors,2026-02-11,2026-03-03,6
Ananya Iyer,2023PE8592,IC Engines,2026-01-30,2026-02-09,0
Ananya Iyer,2023PE8592,Web Technologies,2026-01-04,2026-01-24,6
Ananya Iyer,2023PE8592,Signals and Systems,2026-01-15,2026-02-02,4
Aarav Sharma,2022PE8076,Thermodynamics,2026-02-19,2026-03-11,6
Aarav Sharma,2022PE8076,Microprocessors,2026-02-12,2026-02-20,0
Aarav Sharma,2022PE8076,IC Engines,2026-01-15,2026-01-24,0
Aarav Sharma,2022PE8076,Microprocessors,2026-02-05,2026-02-16,0
Kiara Joshi,2022PE7641,Signals and Systems,2026-01-24,2026-02-11,4
Kiara Joshi,2022PE7641,Signals and Systems,2026-01-31,2026-02-25,11
Kiara Joshi,2022PE7641,IC Engines,2026-02-23,2026-03-18,9
Kiara Joshi,2022PE7641,Thermodynamics,2026-02-02,2026-02-17,1
Vihaan Patil,2023PE4381,IC Engines,2026-02-26,2026-03-18,6
Vihaan Patil,2023PE4381,Signals and Systems,2026-02-25,2026-03-04,0
Vihaan Patil,2023PE4381,IC Engines,2026-02-16,2026-03-10,8
Vihaan Patil,2023PE4381,IC Engines,2026-02-08,2026-02-13,0
Vihaan Patil,2023PE2257,Microprocessors,2026-03-01,2026-03-09,0
Vihaan Patil,2023PE2257,Web Technologies,2026-01-06,2026-01-25,5
Vihaan Patil,2023PE2257,Signals and Systems,2026-02-01,2026-02-16,1
Vihaan Patil,2023PE2257,Signals and Systems,2026-01-14,2026-02-05,8
Sanya Mehta,2022PE7805,Introduction to Algorithms,2026-02-19,2026-03-10,5
Sanya Mehta,2022PE7805,Microprocessors,2026-02-16,2026-02-27,0
Sanya Mehta,2022PE7805,Thermodynamics,2026-01-08,2026-01-13,0
Sanya Mehta,2022PE7805,Thermodynamics,2026-02-22,2026-03-06,0
Ananya Iyer,2023PE2339,Introduction to Algorithms,2026-03-02,2026-03-08,0
Ananya Iyer,2023PE2339,Signals and Systems,2026-02-07,2026-02-26,5
Ananya Iyer,2023PE2339,Thermodynamics,2026-01-02,2026-01-08,0
Ananya Iyer,2023PE2339,IC Engines,2026-01-13,2026-01-18,0
Isha Deshmukh,2022PE2767,IC Engines,2026-01-16,2026-01-24,0
Isha Deshmukh,2022PE2767,Thermodynamics,2026-02-02,2026-02-08,0
Isha Deshmukh,2022PE2767,Introduction to Algorithms,2026-02-15,2026-03-11,10
Isha Deshmukh,2022PE2767,Microprocessors,2026-01-27,2026-02-20,10
Arjun Nair,2023PE5363,Microprocessors,2026-01-07,2026-01-13,0
Arjun Nair,2023PE5363,Introduction to Algorithms,2026-02-05,2026-02-27,8
Arjun Nair,2023PE5363,Machine Learning,2026-01-02,2026-01-16,0
Arjun Nair,2023PE5363,Thermodynamics,2026-01-02,2026-01-15,0
Sanya Mehta,2022PE6271,Thermodynamics,2026-02-13,2026-02-24,0
Sanya Mehta,2022PE6271,Signals and Systems,2026-01-07,2026-01-28,7
Sanya Mehta,2022PE6271,Thermodynamics,2026-02-15,2026-03-10,9
Sanya Mehta,2022PE6271,Introduction to Algorithms,2026-01-31,2026-02-14,0
Isha Deshmukh,2022PE7968,Microprocessors,2026-01-14,2026-02-06,9
Isha Deshmukh,2022PE7968,IC Engines,2026-02-01,2026-02-11,0
Isha Deshmukh,2022PE7968,Introduction to Algorithms,2026-01-07,2026-01-13,0
Isha Deshmukh,2022PE7968,Machine Learning,2026-02-12,2026-02-28,2
Vihaan Patil,2022PE6069,Introduction to Algorithms,2026-02-26,2026-03-23,11
Vihaan Patil,2022PE6069,Microprocessors,2026-01-15,2026-02-06,8
Vihaan Patil,2022PE6069,Machine Learning,2026-02-23,2026-03-04,0
Vihaan Patil,2022PE6069,Signals and Systems,2026-02-16,2026-02-25,0
Vihaan Patil,2023PE9097,Thermodynamics,2026-01-29,2026-02-21,9
Vihaan Patil,2023PE9097,Thermodynamics,2026-02-21,2026-03-15,8
Vihaan Patil,2023PE9097,Thermodynamics,2026-01-27,2026-02-06,0
Vihaan Patil,2023PE9097,Introduction to Algorithms,2026-01-26,2026-02-13,4
Rohan Verma,2022PE3609,Thermodynamics,2026-01-15,2026-02-04,6
Rohan Verma,2022PE3609,Machine Learning,2026-01-24,2026-02-07,0
Rohan Verma,2022PE3609,Machine Learning,2026-01-19,2026-02-02,0
Rohan Verma,2022PE3609,Machine Learning,2026-02-25,2026-03-13,2
Aarav Sharma,2023PE7114,Thermodynamics,2026-02-20,2026-03-06,0
Aarav Sharma,2023PE7114,Signals and Systems,2026-01-29,2026-02-21,9
Aarav Sharma,2023PE7114,Signals and Systems,2026-02-14,2026-02-23,0
Aarav Sharma,2023PE7114,Microprocessors,2026-01-23,2026-01-28,0
Rohan Verma,2023PE3677,Thermodynamics,2026-02-21,2026-03-06,0
Rohan Verma,2023PE3677,Thermodynamics,2026-01-08,2026-01-27,5
Rohan Verma,2023PE3677,Web Technologies,2026-03-01,2026-03-06,0
Rohan Verma,2023PE3677,Microprocessors,2026-02-09,2026-02-24,1
Ananya Iyer,2022PE1152,Machine Learning,2026-02-24,2026-03-02,0
Ananya Iyer,2022PE1152,Microprocessors,2026-02-22,2026-03-10,2
Ananya Iyer,2022PE1152,Signals and Systems,2026-01-08,2026-01-18,0
Ananya Iyer,2022PE1152,Web Technologies,2026-01-09,2026-01-31,8
Arjun Nair,2023PE5026,Microprocessors,2026-02-14,2026-02-21,0
Arjun Nair,2023PE5026,Thermodynamics,2026-02-18,2026-03-04,0
Arjun Nair,2023PE5026,Signals and Systems,2026-01-22,2026-02-15,10
Arjun Nair,2023PE5026,IC Engines,2026-02-21,2026-03-15,8
Vihaan Patil,2022PE7596,Machine Learning,2026-02-14,2026-03-05,5
Vihaan Patil,2022PE7596,Signals and Systems,2026-02-15,2026-02-20,0
Vihaan Patil,2022PE7596,IC Engines,2026-01-29,2026-02-18,6
Vihaan Patil,2022PE7596,Web Technologies,2026-01-16,2026-01-23,0
Rohan Verma,2023PE7172,Machine Learning,2026-02-21,2026-03-13,6
Rohan Verma,2023PE7172,Web Technologies,2026-02-04,2026-02-17,0
Rohan Verma,2023PE7172,Web Technologies,2026-01-21,2026-02-09,5
